time:timestamp;lifecycle:transition;concept:name;case:concept:name;concept:resource;concept:instance
2025-08-05 17:54:31.457008+00:00;complete;Functionality Maintenance;case_1;re12;19
2025-08-05 16:15:58.457008+00:00;begin;Functionality Maintenance;case_1;re13;20
2025-08-05 18:15:58.457008+00:00;complete;Functionality Maintenance;case_1;re13;20
2025-08-05 17:46:31.457008+00:00;begin;Functionality Maintenance;case_1;re13;21
2025-08-05 19:46:31.457008+00:00;complete;Functionality Maintenance;case_1;re13;21
2025-08-05 18:09:55.457008+00:00;begin;Functionality Maintenance;case_1;re13;22
2025-08-05 20:09:55.457008+00:00;complete;Functionality Maintenance;case_1;re13;22
2025-08-05 19:28:18.457008+00:00;begin;Functionality Maintenance;case_1;re13;23
2025-08-05 21:28:18.457008+00:00;complete;Functionality Maintenance;case_1;re13;23
2025-08-04 21:44:44.457008+00:00;begin;Management;case_2;re6;1
2025-08-04 23:44:44.457008+00:00;complete;Management;case_2;re6;1
2025-08-04 22:04:25.457008+00:00;begin;Management;case_2;re5;2
2025-08-05 00:04:25.457008+00:00;complete;Management;case_2;re5;2
2025-08-04 23:38:33.457008+00:00;begin;Management;case_2;re6;3
2025-08-05 01:38:33.457008+00:00;complete;Management;case_2;re6;3
2025-08-05 00:55:57.457008+00:00;begin;Management;case_2;re9;4
2025-08-05 02:55:57.457008+00:00;complete;Management;case_2;re9;4
2025-08-05 01:53:02.457008+00:00;begin;Management;case_2;re7;5
2025-08-05 03:53:02.457008+00:00;complete;Management;case_2;re7;5
2025-08-05 02:57:01.457008+00:00;begin;Update Requirements;case_2;re6;6
2025-08-05 04:57:01.457008+00:00;complete;Update Requirements;case_2;re6;6
2025-08-05 03:07:26.457008+00:00;begin;Update Requirements;case_2;re8;7
2025-08-05 05:07:26.457008+00:00;complete;Update Requirements;case_2;re8;7
2025-08-05 04:34:54.457008+00:00;begin;Update Requirements;case_2;re9;8
2025-08-05 06:34:54.457008+00:00;complete;Update Requirements;case_2;re9;8
2025-08-05 05:45:46.457008+00:00;begin;Update Requirements;case_2;re5;9
2025-08-05 07:45:46.457008+00:00;complete;Update Requirements;case_2;re5;9
2025-08-05 06:23:52.457008+00:00;begin;Update Requirements;case_2;re7;10
2025-08-05 08:23:52.457008+00:00;complete;Update Requirements;case_2;re7;10
2025-08-05 07:19:12.457008+00:00;begin;Update Requirements;case_2;re7;11
2025-08-05 09:19:12.457008+00:00;complete;Update Requirements;case_2;re7;11
2025-08-05 08:55:41.457008+00:00;begin;Update Requirements;case_2;re5;12
2025-08-05 10:55:41.457008+00:00;complete;Update Requirements;case_2;re5;12
2025-08-05 09:12:01.457008+00:00;begin;Update Requirements;case_2;re5;13
2025-08-05 11:12:01.457008+00:00;complete;Update Requirements;case_2;re5;13
2025-08-05 10:43:05.457008+00:00;begin;Functionality Maintenance;case_2;re8;14
2025-08-05 12:43:05.457008+00:00;complete;Functionality Maintenance;case_2;re8;14
2025-08-05 11:09:50.457008+00:00;begin;Functionality Maintenance;case_2;re5;15
2025-08-05 13:09:50.457008+00:00;complete;Functionality Maintenance;case_2;re5;15
2025-08-05 12:34:18.457008+00:00;begin;Functionality Maintenance;case_2;re5;16
2025-08-05 14:34:18.457008+00:00;complete;Functionality Maintenance;case_2;re5;16
2025-08-05 13:56:40.457008+00:00;begin;Functionality Maintenance;case_2;re5;17
2025-08-05 15:56:40.457008+00:00;complete;Functionality Maintenance;case_2;re5;17
2025-08-05 14:39:56.457008+00:00;begin;Functionality Maintenance;case_2;re9;18
2025-08-05 16:39:56.457008+00:00;complete;Functionality Maintenance;case_2;re9;18
2025-08-05 15:17:25.457008+00:00;begin;Functionality Maintenance;case_2;re9;19
2025-08-05 17:17:25.457008+00:00;complete;Functionality Maintenance;case_2;re9;19
2025-08-05 16:40:20.457008+00:00;begin;Functionality Maintenance;case_2;re6;20
2025-08-05 18:40:20.457008+00:00;complete;Functionality Maintenance;case_2;re6;20
2025-08-05 17:32:04.457008+00:00;begin;Functionality Maintenance;case_2;re7;21
2025-08-05 19:32:04.457008+00:00;complete;Functionality Maintenance;case_2;re7;21
2025-08-05 18:24:17.457008+00:00;begin;Functionality Maintenance;case_2;re8;22
2025-08-05 20:24:17.457008+00:00;complete;Functionality Maintenance;case_2;re8;22
