case:concept:name;concept:dataobj;concept:operation;time:timestamp;concept:resource;concept:instance;lifecycle:transition
case_0;Management;r;2025-07-31 20:02:41.780819679+00:00;re12, re13;9;complete
case_0;Management;u;2025-07-31 21:18:50.495714199+00:00;re12, re13;9;complete
case_0;Requirements;r;2025-07-31 20:50:03.374223592+00:00;re12, re13;9;complete
case_0;Requirements;u;2025-07-31 21:28:25.331941757+00:00;re12, re13;9;complete
case_0;Management;c;2025-07-31 20:49:26.467225235+00:00;re2, re4, re5;10;complete
case_0;Management;u;2025-07-31 20:49:04.485965220+00:00;re2, re4, re5;10;complete
case_0;Management;d;2025-07-31 20:29:40.513581414+00:00;re2, re4, re5;10;complete
case_0;Code;r;2025-07-31 21:04:29.449071853+00:00;re2, re4, re5;10;complete
case_0;Requirements;u;2025-07-31 22:10:03.276399154+00:00;re2, re4, re5;10;complete
case_0;Requirements;d;2025-07-31 20:27:42.374176828+00:00;re2, re4, re5;10;complete
case_0;Management;u;2025-07-31 21:53:37.997496257+00:00;re12, re13;11;complete
case_0;Code;r;2025-07-31 21:36:36.829868985+00:00;re12, re13;11;complete
case_0;Requirements;r;2025-07-31 22:57:38.593463347+00:00;re12, re13;11;complete
case_0;Requirements;u;2025-07-31 23:10:59.838434829+00:00;re12, re13;11;complete
case_0;Management;c;2025-07-31 22:39:38.260585632+00:00;re12, re13;12;complete
case_0;Management;u;2025-07-31 22:41:40.065410221+00:00;re12, re13;12;complete
case_0;Code;r;2025-07-31 22:45:10.457414392+00:00;re12, re13;12;complete
case_0;Requirements;u;2025-08-01 00:15:48.636310314+00:00;re12, re13;12;complete
case_0;Management;u;2025-08-01 00:39:06.863705672+00:00;re12, re13;13;complete
case_0;Management;d;2025-08-01 01:19:58.760033865+00:00;re12, re13;13;complete
case_0;Requirements;r;2025-08-01 00:41:35.069658067+00:00;re12, re13;13;complete
case_0;Requirements;u;2025-08-01 01:25:57.243628126+00:00;re12, re13;13;complete
case_0;Requirements;d;2025-08-01 01:28:44.916652377+00:00;re12, re13;13;complete
case_0;Management;c;2025-08-01 01:53:31.605926636+00:00;re12, re13;14;complete
case_0;Management;r;2025-08-01 01:16:29.943719945+00:00;re12, re13;14;complete
case_0;Management;u;2025-08-01 01:41:06.992355276+00:00;re12, re13;14;complete
case_0;Code;r;2025-08-01 02:01:34.664139601+00:00;re12, re13;14;complete
case_0;Requirements;u;2025-08-01 01:32:23.694280920+00:00;re12, re13;14;complete
case_0;Management;c;2025-08-01 02:01:52.857087047+00:00;re2, re4, re5;15;complete
case_0;Management;u;2025-08-01 01:53:10.069373951+00:00;re2, re4, re5;15;complete
case_0;Management;d;2025-08-01 02:20:16.001621495+00:00;re2, re4, re5;15;complete
case_0;Requirements;u;2025-08-01 01:57:37.859724354+00:00;re2, re4, re5;15;complete
case_0;Management;c;2025-08-01 04:03:32.715970691+00:00;re2, re4, re5;16;complete
case_0;Management;r;2025-08-01 03:56:54.872771279+00:00;re2, re4, re5;16;complete
case_0;Management;u;2025-08-01 03:43:06.701770343+00:00;re2, re4, re5;16;complete
case_0;Requirements;r;2025-08-01 02:19:53.343352410+00:00;re2, re4, re5;16;complete
case_0;Requirements;u;2025-08-01 04:00:54.471261056+00:00;re2, re4, re5;16;complete
case_0;Requirements;d;2025-08-01 02:22:33.554107903+00:00;re2, re4, re5;16;complete
case_0;Management;c;2025-08-01 04:33:53.870402856+00:00;re5, re6, re7, re8, re9;17;complete
case_0;Management;u;2025-08-01 04:53:12.932142592+00:00;re5, re6, re7, re8, re9;17;complete
case_0;Code;r;2025-08-01 04:23:30.542121763+00:00;re5, re6, re7, re8, re9;17;complete
case_0;Requirements;u;2025-08-01 03:31:34.140086389+00:00;re5, re6, re7, re8, re9;17;complete
case_0;Requirements;d;2025-08-01 04:51:14.338615070+00:00;re5, re6, re7, re8, re9;17;complete
case_0;Management;c;2025-08-01 05:29:02.393339684+00:00;re2, re4, re5;18;complete
case_0;Management;r;2025-08-01 06:07:14.462074560+00:00;re2, re4, re5;18;complete
case_0;Management;u;2025-08-01 05:48:55.141876723+00:00;re2, re4, re5;18;complete
case_0;Management;d;2025-08-01 05:52:14.140820352+00:00;re2, re4, re5;18;complete
case_0;Requirements;u;2025-08-01 06:08:04.143266192+00:00;re2, re4, re5;18;complete
case_0;Management;c;2025-08-01 05:53:05.508676604+00:00;re12, re13;19;complete
case_0;Management;r;2025-08-01 06:52:19.345566794+00:00;re12, re13;19;complete
case_0;Management;u;2025-08-01 06:38:43.740739187+00:00;re12, re13;19;complete
case_0;Management;d;2025-08-01 07:35:43.902600140+00:00;re12, re13;19;complete
case_0;Code;r;2025-08-01 07:16:10.109307129+00:00;re12, re13;19;complete
case_0;Code;u;2025-08-01 07:23:28.302764015+00:00;re12, re13;19;complete
case_0;Code;d;2025-08-01 07:13:58.615457810+00:00;re12, re13;19;complete
case_0;Requirements;r;2025-08-01 07:19:16.086654192+00:00;re12, re13;19;complete
case_0;Management;u;2025-08-01 06:51:42.047330072+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Management;d;2025-08-01 07:06:37.248671373+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Code;r;2025-08-01 07:49:19.397306230+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Code;u;2025-08-01 07:27:24.940545056+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Code;d;2025-08-01 06:50:18.627467948+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Requirements;r;2025-08-01 07:37:55.248644076+00:00;re5, re6, re7, re8, re9;20;complete
case_0;Management;c;2025-08-01 09:04:37.082391517+00:00;re12, re13;21;complete
case_0;Management;u;2025-08-01 09:26:42.067831437+00:00;re12, re13;21;complete
case_0;Management;d;2025-08-01 09:33:27.989552352+00:00;re12, re13;21;complete
case_0;Code;r;2025-08-01 09:31:41.981722577+00:00;re12, re13;21;complete
case_0;Code;u;2025-08-01 09:56:56.049262224+00:00;re12, re13;21;complete
case_0;Requirements;r;2025-08-01 08:42:11.446008640+00:00;re12, re13;21;complete
case_0;Management;u;2025-08-01 10:52:08.369153552+00:00;re12, re13;22;complete
case_0;Code;u;2025-08-01 10:15:26.984756084+00:00;re12, re13;22;complete
case_0;Management;r;2025-08-01 10:47:14.863967689+00:00;re2, re4, re5;23;complete
case_0;Management;u;2025-08-01 10:33:06.952480416+00:00;re2, re4, re5;23;complete
case_0;Management;d;2025-08-01 11:04:48.583195567+00:00;re2, re4, re5;23;complete
case_0;Code;u;2025-08-01 09:38:32.572159743+00:00;re2, re4, re5;23;complete
case_0;Management;c;2025-08-01 12:47:16.656718751+00:00;re2, re4, re5;24;complete
case_0;Management;r;2025-08-01 10:59:33.609947109+00:00;re2, re4, re5;24;complete
case_0;Management;u;2025-08-01 12:04:40.390414758+00:00;re2, re4, re5;24;complete
case_0;Management;d;2025-08-01 11:34:12.846784641+00:00;re2, re4, re5;24;complete
case_0;Code;r;2025-08-01 12:26:08.778423509+00:00;re2, re4, re5;24;complete
case_0;Code;u;2025-08-01 11:16:34.579356861+00:00;re2, re4, re5;24;complete
case_0;Code;d;2025-08-01 12:20:01.639111382+00:00;re2, re4, re5;24;complete
case_0;Requirements;r;2025-08-01 12:18:01.126199989+00:00;re2, re4, re5;24;complete
case_0;Management;u;2025-08-01 12:26:47.871832122+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Management;d;2025-08-01 13:17:29.582548876+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Code;r;2025-08-01 13:01:32.483533258+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Code;u;2025-08-01 13:12:24.093207116+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Code;d;2025-08-01 12:29:36.357367454+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Requirements;r;2025-08-01 11:51:23.014961731+00:00;re5, re6, re7, re8, re9;25;complete
case_0;Management;c;2025-08-01 13:02:21.854201428+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Management;u;2025-08-01 14:18:25.654626940+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Management;d;2025-08-01 14:34:29.789945611+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Code;r;2025-08-01 14:21:32.275106872+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Code;u;2025-08-01 14:18:08.806984851+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Code;d;2025-08-01 14:19:37.832885654+00:00;re5, re6, re7, re8, re9;26;complete
case_0;Management;r;2025-08-01 14:00:58.557869454+00:00;re12, re13;27;complete
case_0;Management;u;2025-08-01 15:23:54.335190420+00:00;re12, re13;27;complete
case_0;Management;d;2025-08-01 15:28:28.431593024+00:00;re12, re13;27;complete
case_0;Code;r;2025-08-01 14:38:05.438953500+00:00;re12, re13;27;complete
case_0;Code;u;2025-08-01 14:29:17.835028087+00:00;re12, re13;27;complete
case_0;Management;c;2025-08-01 15:24:15.534341214+00:00;re2, re4, re5;28;complete
case_0;Management;r;2025-08-01 14:57:34.357122999+00:00;re2, re4, re5;28;complete
case_0;Management;u;2025-08-01 15:10:20.986270092+00:00;re2, re4, re5;28;complete
case_0;Code;r;2025-08-01 14:50:01.898152190+00:00;re2, re4, re5;28;complete
case_0;Code;u;2025-08-01 16:34:17.949964666+00:00;re2, re4, re5;28;complete
case_0;Management;c;2025-08-01 16:40:59.580498434+00:00;re2, re4, re5;29;complete
case_0;Management;r;2025-08-01 16:00:20.582370993+00:00;re2, re4, re5;29;complete
case_0;Management;u;2025-08-01 17:04:50.160054805+00:00;re2, re4, re5;29;complete
case_0;Management;d;2025-08-01 16:12:03.956447981+00:00;re2, re4, re5;29;complete
case_0;Code;u;2025-08-01 15:37:57.981248284+00:00;re2, re4, re5;29;complete
case_0;Management;c;2025-08-01 18:32:29.819260461+00:00;re5, re6, re7, re8, re9;30;complete
case_0;Management;u;2025-08-01 19:05:06.317256525+00:00;re5, re6, re7, re8, re9;30;complete
case_0;Code;r;2025-08-01 17:56:28.855817392+00:00;re5, re6, re7, re8, re9;30;complete
case_0;Code;u;2025-08-01 17:50:46.798352235+00:00;re5, re6, re7, re8, re9;30;complete
case_0;Requirements;r;2025-08-01 17:19:25.103007204+00:00;re5, re6, re7, re8, re9;30;complete
case_0;Management;c;2025-08-01 19:54:21.340085624+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Management;u;2025-08-01 18:27:29.772360559+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Management;d;2025-08-01 17:56:04.316426492+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Code;r;2025-08-01 19:34:57.304656531+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Code;u;2025-08-01 18:24:53.315905595+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Requirements;r;2025-08-01 18:44:02.389752175+00:00;re5, re6, re7, re8, re9;31;complete
case_0;Management;r;2025-08-01 20:13:08.336895494+00:00;re2, re4, re5;32;complete
case_0;Management;u;2025-08-01 18:35:05.361603856+00:00;re2, re4, re5;32;complete
case_0;Code;r;2025-08-01 20:08:30.021054017+00:00;re2, re4, re5;32;complete
case_0;Code;u;2025-08-01 18:38:39.486622786+00:00;re2, re4, re5;32;complete
case_0;Requirements;r;2025-08-01 18:46:37.848108143+00:00;re2, re4, re5;32;complete
case_0;Management;u;2025-08-01 20:18:49.577725836+00:00;re2, re4, re5;33;complete
case_0;Management;d;2025-08-01 21:28:18.962620232+00:00;re2, re4, re5;33;complete
case_0;Code;u;2025-08-01 21:02:31.712449662+00:00;re2, re4, re5;33;complete
case_0;Code;d;2025-08-01 20:16:31.919224635+00:00;re2, re4, re5;33;complete
case_1;Management;u;2025-07-31 11:55:50.803012662+00:00;re12, re13;1;complete
case_1;Management;c;2025-07-31 12:57:14.397418672+00:00;re2, re4, re5;2;complete
case_1;Management;u;2025-07-31 12:45:21.171304673+00:00;re2, re4, re5;2;complete
case_1;Management;u;2025-07-31 13:32:14.811648986+00:00;re12, re13;3;complete
case_1;Management;d;2025-07-31 13:38:04.339782501+00:00;re12, re13;3;complete
case_1;Management;u;2025-07-31 15:26:05.448318639+00:00;re5, re6, re7, re8, re9;4;complete
case_1;Management;d;2025-07-31 16:08:53.872322436+00:00;re5, re6, re7, re8, re9;4;complete
case_1;Management;u;2025-07-31 16:52:16.714445987+00:00;re12, re13;5;complete
case_1;Code;r;2025-07-31 17:24:35.724116473+00:00;re12, re13;5;complete
case_1;Requirements;r;2025-07-31 17:06:30.707935573+00:00;re12, re13;5;complete
case_1;Requirements;u;2025-07-31 17:07:57.579999822+00:00;re12, re13;5;complete
case_1;Requirements;d;2025-07-31 16:13:35.363164507+00:00;re12, re13;5;complete
case_1;Management;c;2025-07-31 18:04:09.059321614+00:00;re2, re4, re5;6;complete
case_1;Management;u;2025-07-31 17:02:14.972929328+00:00;re2, re4, re5;6;complete
case_1;Management;d;2025-07-31 18:14:09.285257044+00:00;re2, re4, re5;6;complete
case_1;Requirements;u;2025-07-31 18:01:39.501072489+00:00;re2, re4, re5;6;complete
case_1;Requirements;d;2025-07-31 18:04:53.716556520+00:00;re2, re4, re5;6;complete
case_1;Management;c;2025-07-31 17:51:23.312086304+00:00;re2, re4, re5;7;complete
case_1;Management;u;2025-07-31 18:19:49.238526134+00:00;re2, re4, re5;7;complete
case_1;Requirements;u;2025-07-31 18:27:29.352228255+00:00;re2, re4, re5;7;complete
case_1;Requirements;d;2025-07-31 19:09:46.193343625+00:00;re2, re4, re5;7;complete
case_1;Management;u;2025-07-31 19:08:49.676479031+00:00;re2, re4, re5;8;complete
case_1;Requirements;u;2025-07-31 19:30:25.482430199+00:00;re2, re4, re5;8;complete
case_1;Management;c;2025-07-31 20:22:17.461214426+00:00;re5, re6, re7, re8, re9;9;complete
case_1;Management;u;2025-07-31 21:05:22.621943483+00:00;re5, re6, re7, re8, re9;9;complete
case_1;Management;d;2025-07-31 20:06:53.140321844+00:00;re5, re6, re7, re8, re9;9;complete
case_1;Code;r;2025-07-31 20:07:48.797256757+00:00;re5, re6, re7, re8, re9;9;complete
case_1;Requirements;u;2025-07-31 20:22:13.959792096+00:00;re5, re6, re7, re8, re9;9;complete
case_1;Management;r;2025-07-31 21:49:33.146283076+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Management;u;2025-07-31 21:23:01.254333516+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Management;d;2025-07-31 22:05:28.330502347+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Code;r;2025-07-31 22:32:21.374891902+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Requirements;u;2025-07-31 22:22:06.621694939+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Requirements;d;2025-07-31 22:54:13.856893217+00:00;re5, re6, re7, re8, re9;10;complete
case_1;Management;c;2025-07-31 23:34:00.447150318+00:00;re2, re4, re5;11;complete
case_1;Management;r;2025-07-31 22:40:53.283209051+00:00;re2, re4, re5;11;complete
case_1;Management;u;2025-07-31 22:12:15.566008454+00:00;re2, re4, re5;11;complete
case_1;Management;d;2025-07-31 23:26:27.023944303+00:00;re2, re4, re5;11;complete
case_1;Code;r;2025-07-31 23:35:39.123282911+00:00;re2, re4, re5;11;complete
case_1;Requirements;u;2025-07-31 22:17:03.286529150+00:00;re2, re4, re5;11;complete
case_1;Management;u;2025-07-31 22:56:23.075967878+00:00;re12, re13;12;complete
case_1;Requirements;r;2025-07-31 22:22:17.767311971+00:00;re12, re13;12;complete
case_1;Requirements;u;2025-07-31 23:42:54.595715729+00:00;re12, re13;12;complete
case_1;Management;c;2025-08-01 01:31:08.464635572+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Management;r;2025-08-01 00:29:41.110286006+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Management;u;2025-08-01 01:12:01.772632648+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Management;d;2025-08-01 00:59:53.471491684+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Code;r;2025-08-01 00:00:21.929137907+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Requirements;u;2025-08-01 00:58:36.269040388+00:00;re5, re6, re7, re8, re9;13;complete
case_1;Management;c;2025-08-01 01:54:25.336992943+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Management;r;2025-08-01 01:04:11.217860846+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Management;u;2025-08-01 00:43:03.048261527+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Management;d;2025-08-01 01:35:08.299401870+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Requirements;u;2025-08-01 01:16:59.482337855+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Requirements;d;2025-08-01 00:43:08.262493531+00:00;re5, re6, re7, re8, re9;14;complete
case_1;Management;c;2025-08-01 03:20:17.562842707+00:00;re2, re4, re5;15;complete
case_1;Management;r;2025-08-01 03:44:50.779125623+00:00;re2, re4, re5;15;complete
case_1;Management;u;2025-08-01 01:53:15.927008567+00:00;re2, re4, re5;15;complete
case_1;Code;r;2025-08-01 02:12:32.614702099+00:00;re2, re4, re5;15;complete
case_1;Code;u;2025-08-01 02:24:33.726102830+00:00;re2, re4, re5;15;complete
case_1;Code;d;2025-08-01 02:06:21.293445475+00:00;re2, re4, re5;15;complete
case_1;Requirements;r;2025-08-01 02:53:35.153246938+00:00;re2, re4, re5;15;complete
case_1;Management;r;2025-08-01 04:33:12.960934402+00:00;re2, re4, re5;16;complete
case_1;Management;u;2025-08-01 04:21:07.530073230+00:00;re2, re4, re5;16;complete
case_1;Management;d;2025-08-01 03:12:55.154641934+00:00;re2, re4, re5;16;complete
case_1;Code;r;2025-08-01 03:56:19.734803609+00:00;re2, re4, re5;16;complete
case_1;Code;u;2025-08-01 05:01:38.744583246+00:00;re2, re4, re5;16;complete
case_1;Requirements;r;2025-08-01 04:57:41.655044134+00:00;re2, re4, re5;16;complete
case_1;Management;c;2025-08-01 04:55:30.827632617+00:00;re2, re4, re5;17;complete
case_1;Management;u;2025-08-01 05:08:24.173466215+00:00;re2, re4, re5;17;complete
case_1;Management;d;2025-08-01 04:52:24.976079051+00:00;re2, re4, re5;17;complete
case_1;Code;u;2025-08-01 03:55:12.268138317+00:00;re2, re4, re5;17;complete
case_1;Requirements;r;2025-08-01 05:53:41.557469945+00:00;re2, re4, re5;17;complete
case_1;Management;c;2025-08-01 06:04:15.285528379+00:00;re2, re4, re5;18;complete
case_1;Management;r;2025-08-01 04:51:37.309601335+00:00;re2, re4, re5;18;complete
case_1;Management;u;2025-08-01 04:48:48.237420130+00:00;re2, re4, re5;18;complete
case_1;Management;d;2025-08-01 04:30:59.375461948+00:00;re2, re4, re5;18;complete
case_1;Code;r;2025-08-01 05:49:10.893520645+00:00;re2, re4, re5;18;complete
case_1;Code;u;2025-08-01 05:58:44.629595369+00:00;re2, re4, re5;18;complete
case_1;Code;d;2025-08-01 06:10:52.986300278+00:00;re2, re4, re5;18;complete
case_1;Requirements;r;2025-08-01 04:24:45.159080541+00:00;re2, re4, re5;18;complete
case_1;Management;c;2025-08-01 06:30:58.729780447+00:00;re12, re13;19;complete
case_1;Management;u;2025-08-01 06:10:52.305511398+00:00;re12, re13;19;complete
case_1;Code;r;2025-08-01 07:03:17.106560302+00:00;re12, re13;19;complete
case_1;Code;u;2025-08-01 06:02:43.678793046+00:00;re12, re13;19;complete
case_1;Code;d;2025-08-01 06:54:21.234842568+00:00;re12, re13;19;complete
case_1;Management;c;2025-08-01 08:28:41.394484404+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Management;u;2025-08-01 07:15:59.486210905+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Management;d;2025-08-01 07:34:28.019655885+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Code;r;2025-08-01 07:31:19.310554633+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Code;u;2025-08-01 07:37:40.616952935+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Code;d;2025-08-01 08:01:18.031396784+00:00;re5, re6, re7, re8, re9;20;complete
case_1;Management;u;2025-08-01 08:51:44.912975834+00:00;re5, re6, re7, re8, re9;21;complete
case_1;Management;d;2025-08-01 09:26:30.152839333+00:00;re5, re6, re7, re8, re9;21;complete
case_1;Code;u;2025-08-01 09:06:55.811203972+00:00;re5, re6, re7, re8, re9;21;complete
case_1;Requirements;r;2025-08-01 08:40:22.130182450+00:00;re5, re6, re7, re8, re9;21;complete
case_1;Management;r;2025-08-01 10:11:27.878852433+00:00;re2, re4, re5;22;complete
case_1;Management;u;2025-08-01 10:40:26.670162438+00:00;re2, re4, re5;22;complete
case_1;Code;r;2025-08-01 09:31:27.805357886+00:00;re2, re4, re5;22;complete
case_1;Code;u;2025-08-01 10:32:18.282698986+00:00;re2, re4, re5;22;complete
case_1;Management;r;2025-08-01 10:21:59.018188795+00:00;re12, re13;23;complete
case_1;Management;u;2025-08-01 10:56:47.282243099+00:00;re12, re13;23;complete
case_1;Code;r;2025-08-01 11:06:42.935104621+00:00;re12, re13;23;complete
case_1;Code;u;2025-08-01 10:31:33.462049372+00:00;re12, re13;23;complete
case_1;Requirements;r;2025-08-01 11:03:22.583471484+00:00;re12, re13;23;complete
case_1;Management;u;2025-08-01 11:23:53.712926708+00:00;re5, re6, re7, re8, re9;24;complete
case_1;Management;d;2025-08-01 12:36:00.801800636+00:00;re5, re6, re7, re8, re9;24;complete
case_1;Code;r;2025-08-01 12:44:50.316104385+00:00;re5, re6, re7, re8, re9;24;complete
case_1;Code;u;2025-08-01 11:42:21.631139860+00:00;re5, re6, re7, re8, re9;24;complete
case_1;Requirements;r;2025-08-01 12:18:12.246229283+00:00;re5, re6, re7, re8, re9;24;complete
case_2;Management;c;2025-07-31 12:41:44.254454126+00:00;e3;1;complete
case_2;Management;u;2025-07-31 13:29:09.239520366+00:00;e3;1;complete
case_2;Management;r;2025-07-31 13:26:37.552156333+00:00;e2;2;complete
case_2;Management;u;2025-07-31 13:44:21.654650831+00:00;e2;2;complete
case_2;Management;r;2025-07-31 13:40:29.885247059+00:00;e3;3;complete
case_2;Management;u;2025-07-31 13:28:22.230665532+00:00;e3;3;complete
case_2;Management;r;2025-07-31 16:05:38.433737884+00:00;e5;4;complete
case_2;Management;u;2025-07-31 14:56:24.547410537+00:00;e5;4;complete
case_2;Requirements;u;2025-07-31 16:04:48.324413493+00:00;e5;4;complete
case_2;Management;c;2025-07-31 17:24:07.919921184+00:00;e2;5;complete
case_2;Management;r;2025-07-31 15:50:50.364244038+00:00;e2;5;complete
case_2;Management;u;2025-07-31 17:07:11.089048705+00:00;e2;5;complete
case_2;Management;d;2025-07-31 17:14:26.117094604+00:00;e2;5;complete
case_2;Requirements;u;2025-07-31 16:57:04.617697474+00:00;e2;5;complete
case_2;Requirements;d;2025-07-31 16:47:48.704786170+00:00;e2;5;complete
case_2;Management;u;2025-07-31 17:13:27.777590414+00:00;e2;6;complete
case_2;Code;r;2025-07-31 17:47:40.180806150+00:00;e2;6;complete
case_2;Requirements;u;2025-07-31 17:56:27.717649604+00:00;e2;6;complete
case_2;Management;r;2025-07-31 19:27:15.062617798+00:00;e5;7;complete
case_2;Management;u;2025-07-31 19:05:48.074253972+00:00;e5;7;complete
case_2;Requirements;u;2025-07-31 18:48:33.329197307+00:00;e5;7;complete
case_2;Management;r;2025-07-31 19:58:33.904231621+00:00;e5;8;complete
case_2;Management;u;2025-07-31 18:42:15.390140847+00:00;e5;8;complete
case_2;Management;d;2025-07-31 19:36:06.670634778+00:00;e5;8;complete
case_2;Code;r;2025-07-31 19:24:33.312086038+00:00;e5;8;complete
case_2;Requirements;u;2025-07-31 20:22:24.208449607+00:00;e5;8;complete
case_2;Management;r;2025-07-31 19:59:02.106981092+00:00;e3;9;complete
case_2;Management;u;2025-07-31 20:55:27.485226549+00:00;e3;9;complete
case_2;Management;d;2025-07-31 20:33:57.813632598+00:00;e3;9;complete
case_2;Requirements;r;2025-07-31 20:06:21.042374188+00:00;e3;9;complete
case_2;Requirements;u;2025-07-31 20:13:16.766643764+00:00;e3;9;complete
case_2;Management;c;2025-07-31 22:34:34.509640803+00:00;e2;10;complete
case_2;Management;r;2025-07-31 21:10:56.224440375+00:00;e2;10;complete
case_2;Management;u;2025-07-31 21:28:39.069876998+00:00;e2;10;complete
case_2;Code;r;2025-07-31 21:54:32.204165171+00:00;e2;10;complete
case_2;Requirements;u;2025-07-31 21:05:28.704333794+00:00;e2;10;complete
case_2;Requirements;d;2025-07-31 22:24:44.526478786+00:00;e2;10;complete
case_2;Management;c;2025-07-31 22:59:49.788883103+00:00;e3;11;complete
case_2;Management;u;2025-07-31 23:09:29.874379575+00:00;e3;11;complete
case_2;Requirements;r;2025-07-31 23:11:06.193404660+00:00;e3;11;complete
case_2;Requirements;u;2025-07-31 21:23:30.166676391+00:00;e3;11;complete
case_2;Requirements;d;2025-07-31 23:09:14.868973833+00:00;e3;11;complete
case_2;Management;u;2025-07-31 23:12:34.657077559+00:00;e3;12;complete
case_2;Code;r;2025-08-01 00:47:09.849541674+00:00;e3;12;complete
case_2;Code;u;2025-07-31 23:58:16.248389024+00:00;e3;12;complete
case_2;Code;d;2025-07-31 23:11:15.255797759+00:00;e3;12;complete
